state_x,county_x,county_state,fips,2016,2017,2018,2019,2020,2021,state_y,state_abbrv,state_fips,county_y,county_fips,population,area,risk_score,risk_rating,eal_score,eal_rating,risk_encoded,eal_encoded
Alabama,Autauga County,"Autauga County,  Alabama",01001,143.74,72006.1,145.64,153716.0,161743.0,163383.0,Alabama,AL,01,Autauga,001,54571.0,594.4483121966857,5.74877740065178,Very Low,10.687727334151411,Relatively Low,1.0,2.0
Alabama,Baldwin County,"Baldwin County,  Alabama",01003,179.29,92565.99,190.25,209494.0,234357.0,238582.0,Alabama,AL,01,Baldwin,003,182265.0,1589.815852738394,13.557904620457986,Relatively Moderate,18.73507867536624,Relatively Moderate,3.0,3.0
Alabama,Barbour County,"Barbour County,  Alabama",01005,179.29,48762.36,190.25,100423.0,95277.0,96994.0,Alabama,AL,01,Barbour,005,27457.0,885.0016359709122,9.4196394570524,Relatively Low,11.935456843066328,Relatively Low,2.0,2.0
Alabama,Bibb County,"Bibb County,  Alabama",01007,177.08,58871.18,193.46,101799.0,98445.0,99436.0,Alabama,AL,01,Bibb,007,22915.0,622.4604254258261,4.34631394853192,Very Low,9.076045947659242,Very Low,1.0,1.0
Alabama,Blount County,"Blount County,  Alabama",01009,177.08,68658.34,193.46,131548.0,135574.0,136938.0,Alabama,AL,01,Blount,009,57322.0,644.8210215954298,9.362944865505217,Relatively Low,14.548374656871156,Relatively Low,2.0,2.0
Alabama,Bullock County,"Bullock County,  Alabama",01011,179.29,36304.6,190.25,83776.0,73847.0,75179.0,Alabama,AL,01,Bullock,011,10914.0,622.8053708831358,5.650481915009467,Very Low,6.4297634222515,Very Low,1.0,1.0
Alabama,Butler County,"Butler County,  Alabama",01013,179.29,41741.86,190.25,95450.0,100739.0,102555.0,Alabama,AL,01,Butler,013,20947.0,776.8316093047157,13.801388325542518,Relatively Moderate,12.651619997643632,Relatively Low,3.0,2.0
Alabama,Calhoun County,"Calhoun County,  Alabama",01015,159.91,58504.13,170.01,129654.0,131040.0,129528.0,Alabama,AL,01,Calhoun,015,118572.0,605.8882770039564,16.60768730650263,Relatively Moderate,20.56165993233635,Relatively Moderate,3.0,3.0
Alabama,Chambers County,"Chambers County,  Alabama",01017,179.29,42744.43,190.25,95559.0,101999.0,103838.0,Alabama,AL,01,Chambers,017,34215.0,596.5311120224442,8.371430920833784,Relatively Low,8.968023003602095,Very Low,2.0,1.0
Alabama,Cherokee County,"Cherokee County,  Alabama",01019,179.29,55572.16,190.25,133068.0,129627.0,131963.0,Alabama,AL,01,Cherokee,019,25989.0,553.758589990806,9.17707250669178,Relatively Low,12.510527869399192,Relatively Low,2.0,2.0
Alabama,Chilton County,"Chilton County,  Alabama",01021,177.08,57382.91,193.46,107812.0,113827.0,114972.0,Alabama,AL,01,Chilton,021,43643.0,692.8518941783097,7.671282500587504,Very Low,11.542473598552618,Relatively Low,1.0,2.0
Alabama,Choctaw County,"Choctaw County,  Alabama",01023,179.29,32345.23,190.25,81290.0,77839.0,79242.0,Alabama,AL,01,Choctaw,023,13859.0,913.4670758053744,11.163399027995542,Relatively Low,12.105626636990436,Relatively Low,2.0,2.0
Alabama,Clarke County,"Clarke County,  Alabama",01025,179.29,45964.84,190.25,108963.0,118177.0,120307.0,Alabama,AL,01,Clarke,025,25833.0,1238.4198881565055,9.961703798656876,Relatively Low,9.913384367871805,Very Low,2.0,1.0
Alabama,Clay County,"Clay County,  Alabama",01027,179.29,44486.45,190.25,110476.0,113239.0,115281.0,Alabama,AL,01,Clay,027,13932.0,603.961409876326,7.778923672943241,Very Low,9.147092971675272,Very Low,1.0,1.0
Alabama,Cleburne County,"Cleburne County,  Alabama",01029,179.29,57102.98,190.25,121070.0,122378.0,124585.0,Alabama,AL,01,Cleburne,029,14972.0,560.1042477896762,7.201630822686012,Very Low,10.04496440314858,Very Low,1.0,1.0
Alabama,Coffee County,"Coffee County,  Alabama",01031,179.29,75262.13,190.25,161174.0,154838.0,157629.0,Alabama,AL,01,Coffee,031,49948.0,678.9858215465537,12.770013039071126,Relatively Low,16.504835460631313,Relatively Low,2.0,2.0
Alabama,Colbert County,"Colbert County,  Alabama",01033,164.38,54531.09,170.72,117664.0,129356.0,131930.0,Alabama,AL,01,Colbert,033,54428.0,592.6184860152262,11.161867026528585,Relatively Low,14.653241438297234,Relatively Low,2.0,2.0
Alabama,Conecuh County,"Conecuh County,  Alabama",01035,179.29,37096.47,190.25,82803.0,85087.0,86621.0,Alabama,AL,01,Conecuh,035,13228.0,850.1767653070356,10.806502816312346,Relatively Low,9.008817581701834,Very Low,2.0,1.0
Alabama,Coosa County,"Coosa County,  Alabama",01037,179.29,41424.81,190.25,95018.0,88238.0,89829.0,Alabama,AL,01,Coosa,037,11539.0,650.910371759232,4.375719788732232,Very Low,5.929289048301992,Very Low,1.0,1.0
Alabama,Covington County,"Covington County,  Alabama",01039,179.29,49501.31,190.25,103233.0,102525.0,104373.0,Alabama,AL,01,Covington,039,37765.0,1030.4564791047503,13.142294253314263,Relatively Low,14.199684860578929,Relatively Low,2.0,2.0
Alabama,Crenshaw County,"Crenshaw County,  Alabama",01041,179.29,37360.09,190.25,85938.0,85087.0,86621.0,Alabama,AL,01,Crenshaw,041,13906.0,608.8646400242519,9.449413736240649,Relatively Low,12.7379746864511,Relatively Low,2.0,2.0
Alabama,Cullman County,"Cullman County,  Alabama",01043,179.29,66976.92,190.25,138041.0,144543.0,147149.0,Alabama,AL,01,Cullman,043,80406.0,734.7794065002157,11.115588368070776,Relatively Low,15.536567868606603,Relatively Low,2.0,2.0
Alabama,Dale County,"Dale County,  Alabama",01045,179.29,53777.22,190.25,119016.0,117651.0,119772.0,Alabama,AL,01,Dale,045,50251.0,561.1262956911622,11.68291461532828,Relatively Low,15.261299447055976,Relatively Low,2.0,2.0
Alabama,Dallas County,"Dallas County,  Alabama",01047,179.29,43113.9,190.25,89289.0,87503.0,89081.0,Alabama,AL,01,Dallas,047,43820.0,978.7158597410609,12.332158581758764,Relatively Low,10.940005143960438,Relatively Low,2.0,2.0
Alabama,DeKalb County,"DeKalb County,  Alabama",01049,179.29,52621.86,190.25,121070.0,121013.0,123194.0,Alabama,AL,01,DeKalb,049,71109.0,777.0984127365525,13.34064299547758,Relatively Low,16.795830609060687,Relatively Low,2.0,2.0
Alabama,Elmore County,"Elmore County,  Alabama",01051,143.74,80441.52,145.64,172840.0,184355.0,186225.0,Alabama,AL,01,Elmore,051,79303.0,618.4435596006483,6.975600041555369,Very Low,12.14742153196158,Relatively Low,1.0,2.0
Alabama,Escambia County,"Escambia County,  Alabama",01053,179.29,49607.16,190.25,106152.0,104416.0,106298.0,Alabama,AL,01,Escambia,053,38319.0,945.1090872190074,11.249265088849098,Relatively Low,12.574852844018595,Relatively Low,2.0,2.0
Alabama,Etowah County,"Etowah County,  Alabama",01055,182.97,50968.89,185.91,127089.0,139964.0,145926.0,Alabama,AL,01,Etowah,055,104430.0,535.2852641239775,16.79728586178315,Relatively Moderate,19.489736003406783,Relatively Moderate,3.0,3.0
